Accuracy,Fun,Poly,Params
10,,26,400 150 40
20,,38,400 200 40
30,,58,400 245 50
40,,83,400 290 60
50,,102,400 327 80
10,0.05,,
20,0.06,,
30,0.08,,
40,0.09,,
50,0.11,,
100,0.22,,
150,0.42,,
200,0.64,,
