Accuracy,Fun,Degree,Poly
10,9.2,,
12,37,,
14,148,,
10,,d=34,0.4
12,,d=34,0.4
14,,d=36,0.4
16,,d=36,0.4
18,,d=38,0.5
20,,d=38,0.5
